,0
1061,0
1062,1
1063,1
1064,0
1065,1
1066,0
1067,0
1068,0
1069,1
1070,1
1071,1
1072,0
1073,1
1074,0
1075,0
1076,1
1077,1
1078,0
1079,1
1080,1
1081,1
1082,1
1083,1
1084,0
1085,0
1086,1
1087,1
1088,1
1089,1
1090,0
1091,1
1092,0
1093,1
1094,1
1095,1
1096,0
1097,0
1098,0
1099,1
1100,1
1101,0
1102,0
1103,0
1104,1
1105,0
1106,0
1107,1
1108,0
1109,1
1110,0
1111,1
1112,1
1113,0
1114,0
1115,0
1116,0
1117,0
1118,1
1119,0
1120,0
1121,1
1122,0
1123,1
1124,1
1125,1
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,1
1134,1
1135,1
1136,1
1137,1
1138,0
1139,1
1140,1
1141,0
1142,0
1143,0
1144,1
1145,1
1146,1
1147,0
1148,0
1149,1
1150,1
1151,1
1152,0
1153,0
1154,0
1155,0
1156,0
1157,1
1158,1
1159,1
1160,1
1161,1
1162,0
1163,1
1164,1
1165,1
1166,0
1167,1
1168,1
1169,0
1170,0
1171,1
1172,1
1173,0
1174,1
1175,0
1176,1
1177,1
1178,1
1179,0
1180,1
1181,0
1182,0
1183,0
1184,1
1185,0
1186,1
1187,0
1188,0
1189,1
1190,1
1191,1
1192,0
1193,1
1194,1
1195,1
1196,1
1197,1
1198,0
1199,0
1200,1
1201,0
1202,1
1203,0
1204,1
1205,0
1206,0
1207,0
1208,0
1209,0
1210,1
1211,1
1212,1
1213,1
1214,0
1215,0
1216,0
1217,1
1218,0
1219,0
1220,1
1221,1
1222,1
1223,1
1224,1
1225,0
1226,1
1227,0
1228,1
1229,1
1230,1
1231,1
1232,0
1233,0
1234,1
1235,0
1236,0
1237,1
1238,0
1239,0
1240,0
1241,0
1242,1
1243,1
1244,1
1245,1
1246,0
1247,1
1248,0
1249,0
1250,1
1251,0
1252,0
1253,0
1254,0
1255,1
1256,1
1257,1
1258,0
1259,1
1260,1
1261,1
1262,0
1263,0
1264,1
1265,1
1266,0
1267,0
1268,1
1269,1
1270,0
1271,0
1272,1
1273,0
1274,1
1275,1
1276,0
1277,0
1278,1
1279,1
1280,1
1281,1
1282,0
1283,0
1284,0
1285,0
1286,1
1287,0
1288,1
1289,1
1290,1
1291,0
1292,0
1293,0
1294,1
1295,0
1296,0
1297,0
1298,1
1299,0
1300,0
1301,1
1302,1
1303,0
1304,0
1305,0
1306,0
1307,1
1308,0
1309,0
1310,1
1311,0
1312,0
1313,1
1314,0
1315,1
1316,1
1317,1
1318,0
1319,0
1320,1
1321,0
1322,0
1323,0
1324,1
1325,1
1326,0
1327,1
1328,0
1329,1
1330,1
1331,1
1332,0
1333,1
1334,1
1335,0
1336,0
1337,1
1338,0
1339,1
1340,0
1341,0
1342,0
1343,0
1344,1
1345,0
1346,1
1347,1
1348,0
1349,0
1350,0
1351,1
1352,1
1353,1
1354,1
1355,0
1356,1
1357,0
1358,1
1359,1
1360,1
1361,1
1362,1
1363,0
1364,1
1365,0
1366,0
1367,1
1368,1
1369,1
1370,0
1371,0
1372,0
1373,0
1374,1
1375,1
1376,1
1377,0
1378,0
1379,0
1380,0
1381,0
1382,1
1383,0
1384,1
1385,1
1386,0
1387,0
1388,1
1389,0
1390,0
1391,1
1392,0
1393,0
1394,0
1395,0
1396,1
1397,0
1398,0
1399,0
1400,1
1401,1
1402,1
1403,1
1404,0
1405,1
1406,1
1407,1
1408,1
1409,0
1410,1
1411,0
1412,1
1413,0
1414,1
1415,1
1416,1
1417,0
1418,0
1419,0
1420,0
1421,0
1422,1
1423,1
1424,0
1425,0
1426,0
1427,0
1428,1
1429,0
1430,0
1431,1
1432,1
1433,1
1434,1
1435,0
1436,0
1437,1
1438,0
1439,1
1440,1
1441,0
1442,1
1443,1
1444,1
1445,1
1446,1
1447,0
1448,0
1449,1
1450,1
1451,0
1452,0
1453,0
1454,0
1455,1
1456,1
1457,1
1458,1
1459,1
1460,0
1461,1
1462,0
1463,0
1464,0
1465,0
1466,1
1467,0
1468,1
1469,0
1470,0
1471,1
1472,1
1473,1
1474,0
1475,1
1476,0
1477,1
1478,1
1479,1
1480,1
1481,0
1482,1
1483,1
1484,0
1485,1
1486,1
1487,0
1488,1
1489,1
1490,0
1491,1
1492,0
1493,0
1494,0
1495,1
1496,1
1497,0
1498,1
1499,0
1500,1
1501,1
1502,1
1503,1
1504,0
1505,1
1506,0
1507,0
1508,0
1509,1
1510,0
1511,0
1512,1
1513,1
1514,1
1515,0
1516,0
1517,0
1518,0
1519,1
1520,1
1521,0
1522,0
1523,1
1524,0
1525,0
1526,0
1527,1
1528,0
1529,1
1530,0
1531,1
1532,0
1533,0
1534,1
1535,1
1536,0
1537,0
1538,0
1539,1
1540,0
1541,1
1542,1
1543,1
1544,0
1545,0
1546,0
1547,1
1548,0
1549,1
1550,1
1551,0
1552,1
1553,1
1554,0
1555,1
1556,0
1557,0
1558,1
1559,0
1560,1
1561,1
1562,1
1563,1
1564,0
1565,0
1566,1
1567,0
1568,1
1569,1
1570,1
1571,1
1572,1
1573,1
1574,1
1575,1
1576,1
1577,1
1578,1
1579,1
1580,0
1581,0
1582,0
1583,1
1584,0
1585,0
1586,1
1587,0
1588,1
1589,0
1590,0
1591,1
1592,1
1593,0
1594,0
1595,0
1596,1
1597,1
1598,0
1599,1
1600,1
1601,0
1602,0
1603,0
1604,1
1605,1
1606,1
1607,0
1608,0
1609,0
1610,1
1611,1
1612,1
1613,0
1614,1
1615,0
1616,1
1617,1
1618,1
1619,1
1620,1
1621,1
1622,1
1623,1
1624,0
1625,0
1626,0
1627,1
1628,1
1629,1
1630,0
1631,1
1632,0
1633,0
1634,0
1635,1
1636,1
1637,0
1638,1
1639,1
1640,0
1641,1
1642,0
1643,1
1644,0
1645,1
1646,0
1647,1
1648,1
1649,1
1650,1
1651,0
1652,1
1653,0
1654,1
1655,1
1656,0
1657,1
1658,1
1659,1
1660,1
1661,0
1662,0
1663,0
1664,0
1665,1
1666,0
1667,1
1668,1
1669,1
1670,0
1671,0
1672,0
1673,1
1674,1
1675,1
1676,1
1677,1
1678,1
1679,1
1680,0
1681,1
1682,0
1683,1
1684,1
1685,1
1686,1
1687,1
1688,0
1689,1
1690,0
1691,1
1692,0
1693,0
1694,1
1695,0
1696,0
1697,1
1698,0
1699,1
1700,0
1701,0
1702,1
1703,0
1704,1
1705,0
1706,1
1707,0
1708,0
1709,0
1710,0
1711,1
1712,0
1713,1
1714,1
1715,1
1716,1
1717,0
1718,1
1719,0
1720,1
1721,0
1722,1
1723,0
1724,1
1725,0
1726,0
1727,0
1728,1
1729,1
1730,1
1731,1
1732,0
1733,1
1734,1
1735,1
1736,1
1737,1
1738,1
1739,0
1740,1
1741,0
1742,1
1743,1
1744,1
1745,1
1746,1
1747,0
1748,0
1749,0
1750,0
1751,0
1752,1
1753,1
1754,0
1755,1
1756,0
1757,1
1758,1
1759,0
1760,0
1761,0
1762,1
1763,1
1764,1
1765,0
1766,0
1767,0
1768,1
1769,0
1770,1
1771,1
1772,0
1773,1
1774,1
1775,0
1776,0
1777,0
1778,1
1779,0
1780,1
1781,1
1782,0
1783,1
1784,1
1785,0
1786,1
1787,1
1788,0
1789,0
1790,0
1791,1
1792,0
1793,0
1794,1
1795,0
1796,1
1797,0
1798,1
1799,1
1800,1
1801,0
1802,0
1803,0
1804,1
1805,0
1806,0
1807,1
1808,1
1809,0
1810,0
1811,0
1812,1
1813,1
1814,0
1815,1
1816,0
1817,1
1818,0
1819,1
1820,1
1821,0
1822,0
1823,0
1824,1
1825,0
1826,1
1827,1
1828,0
1829,0
1830,1
1831,1
1832,0
1833,1
1834,1
1835,1
1836,0
1837,1
1838,0
1839,0
1840,1
1841,0
1842,1
1843,0
1844,0
1845,0
1846,0
1847,1
1848,1
1849,1
1850,1
1851,1
1852,1
1853,1
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,1
1861,1
1862,1
1863,0
1864,1
1865,0
1866,1
1867,0
1868,0
1869,0
1870,0
1871,1
1872,0
1873,1
1874,1
1875,1
1876,1
1877,0
1878,0
1879,0
1880,1
1881,0
1882,1
1883,0
1884,0
1885,0
1886,1
1887,1
1888,0
1889,0
1890,0
1891,0
1892,1
1893,0
1894,0
1895,0
1896,1
1897,0
1898,1
1899,0
1900,1
1901,1
1902,0
1903,1
1904,1
1905,1
1906,1
1907,0
1908,1
1909,1
1910,0
1911,1
1912,0
1913,1
1914,0
1915,1
1916,0
1917,1
1918,1
1919,1
1920,0
1921,0
1922,1
1923,1
1924,1
1925,0
1926,1
1927,0
1928,1
1929,0
1930,1
1931,0
1932,1
1933,1
1934,0
1935,0
1936,1
1937,1
1938,1
1939,1
1940,1
1941,0
1942,0
1943,0
1944,1
1945,0
1946,1
1947,1
1948,0
1949,0
1950,1
1951,1
1952,0
1953,0
1954,0
1955,0
1956,0
1957,1
1958,1
1959,1
1960,1
1961,0
1962,0
1963,1
1964,1
1965,1
1966,0
1967,0
1968,0
1969,1
1970,1
1971,1
1972,1
1973,0
1974,1
1975,1
1976,0
1977,0
1978,1
1979,0
1980,0
1981,1
1982,1
1983,1
1984,0
1985,1
1986,1
1987,0
1988,1
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,1
1996,1
1997,0
1998,1
1999,0
2000,1
2001,0
2002,1
2003,1
2004,0
2005,1
2006,0
2007,1
2008,1
2009,0
2010,0
2011,1
2012,0
2013,0
2014,0
2015,1
2016,0
2017,1
2018,0
2019,1
2020,0
2021,1
2022,1
2023,1
2024,1
2025,0
2026,0
2027,0
2028,0
2029,1
2030,1
2031,1
2032,1
2033,1
2034,0
2035,0
2036,1
2037,0
2038,1
2039,1
2040,1
2041,1
2042,0
2043,0
2044,0
2045,1
2046,1
2047,1
2048,0
2049,0
2050,1
2051,1
2052,0
2053,0
2054,0
2055,0
2056,1
2057,0
2058,0
2059,0
2060,0
2061,1
2062,1
2063,1
2064,0
2065,1
2066,0
2067,1
2068,0
2069,0
2070,0
2071,0
2072,0
2073,0
2074,1
2075,1
2076,1
2077,0
2078,1
2079,1
2080,1
2081,1
2082,1
2083,0
2084,1
2085,0
2086,0
2087,0
2088,0
2089,1
2090,0
2091,1
2092,1
2093,1
2094,1
2095,0
2096,1
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,1
2104,0
2105,1
2106,1
2107,0
2108,1
2109,1
2110,1
2111,1
2112,0
2113,1
2114,0
2115,0
2116,1
2117,0
2118,0
2119,1
2120,0
2121,0
2122,1
2123,1
2124,1
2125,1
2126,1
2127,0
2128,0
2129,0
2130,1
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2137,0
2138,1
2139,1
2140,0
2141,1
2142,0
2143,0
2144,1
2145,0
2146,1
2147,0
2148,1
2149,1
2150,0
2151,0
2152,0
2153,1
2154,0
2155,1
2156,1
2157,1
2158,0
2159,0
2160,1
2161,0
2162,0
2163,1
2164,1
2165,0
2166,0
2167,0
2168,1
2169,0
2170,1
2171,0
2172,1
2173,1
2174,1
2175,1
2176,1
2177,0
2178,0
2179,0
2180,1
2181,0
2182,1
2183,0
2184,1
2185,1
2186,0
2187,0
2188,1
2189,0
2190,1
2191,1
2192,0
2193,0
2194,0
2195,1
2196,0
2197,1
2198,1
2199,0
2200,0
2201,0
2202,1
2203,0
2204,0
2205,1
2206,0
2207,1
2208,0
2209,0
2210,0
2211,1
2212,1
2213,0
2214,0
2215,1
2216,0
2217,0
2218,0
2219,1
2220,0
2221,0
2222,0
2223,1
2224,1
2225,1
2226,1
2227,0
2228,0
2229,1
2230,0
2231,0
2232,0
2233,1
2234,0
2235,0
2236,1
2237,0
2238,0
2239,1
2240,1
2241,0
2242,1
2243,1
2244,1
2245,0
2246,0
2247,0
2248,0
2249,0
2250,0
2251,0
2252,1
2253,0
2254,1
2255,0
2256,0
2257,0
2258,1
2259,0
2260,1
2261,1
2262,1
2263,0
2264,1
2265,1
2266,1
2267,1
2268,0
2269,0
2270,1
2271,0
2272,1
2273,0
2274,1
2275,1
2276,1
2277,1
2278,0
2279,0
2280,1
2281,1
2282,0
2283,1
2284,1
2285,0
2286,0
2287,1
2288,0
2289,0
2290,0
2291,0
2292,1
2293,0
2294,1
2295,1
2296,1
2297,0
2298,0
2299,0
2300,0
2301,1
2302,0
2303,0
2304,0
2305,1
2306,0
2307,0
2308,1
2309,1
2310,0
2311,1
2312,0
2313,0
2314,1
2315,0
2316,0
2317,0
2318,1
2319,1
2320,1
2321,1
2322,1
2323,0
2324,1
2325,1
2326,0
2327,1
2328,1
2329,1
2330,0
2331,1
2332,0
2333,1
2334,0
2335,0
2336,0
2337,1
2338,0
2339,1
2340,0
2341,0
2342,0
2343,0
2344,1
2345,1
2346,1
2347,1
2348,0
2349,0
2350,1
2351,0
2352,0
2353,1
2354,1
2355,0
2356,0
2357,0
2358,1
2359,0
2360,0
2361,1
2362,1
2363,0
2364,0
2365,1
2366,0
2367,0
2368,0
2369,1
2370,0
2371,1
2372,1
2373,0
2374,1
2375,0
2376,0
2377,1
2378,1
2379,0
2380,0
2381,0
2382,0
2383,1
2384,1
2385,0
2386,0
2387,0
2388,1
2389,1
2390,0
2391,1
2392,1
2393,1
2394,1
2395,0
2396,0
2397,1
2398,0
2399,0
2400,1
2401,1
2402,0
2403,0
2404,0
2405,1
2406,1
2407,0
2408,1
2409,1
2410,1
2411,1
2412,1
2413,1
2414,0
2415,1
2416,1
2417,0
2418,0
2419,0
2420,1
2421,1
2422,1
2423,1
2424,1
2425,1
2426,0
2427,0
2428,1
2429,0
2430,1
2431,0
2432,1
2433,1
2434,0
2435,1
2436,1
2437,1
2438,1
2439,1
2440,0
2441,1
2442,1
2443,0
2444,1
2445,1
2446,1
2447,0
2448,1
2449,1
2450,1
2451,0
2452,0
2453,0
2454,1
2455,0
2456,0
2457,1
2458,1
2459,1
2460,0
2461,0
2462,0
2463,0
2464,1
2465,1
2466,0
2467,1
2468,1
2469,1
2470,1
2471,0
2472,1
2473,1
2474,1
2475,1
2476,0
2477,1
2478,0
2479,1
2480,0
2481,1
2482,0
2483,0
2484,0
2485,0
2486,0
2487,1
2488,1
2489,1
2490,0
2491,0
2492,0
2493,0
2494,1
2495,0
2496,1
2497,1
2498,0
2499,1
2500,1
2501,0
2502,1
2503,0
2504,1
2505,0
2506,1
2507,0
2508,0
2509,1
2510,0
2511,1
2512,1
2513,1
2514,0
2515,1
2516,1
2517,0
2518,0
2519,0
2520,1
2521,1
2522,1
2523,1
2524,0
2525,0
2526,0
2527,0
2528,0
2529,0
2530,0
2531,1
2532,0
2533,0
2534,0
2535,0
2536,0
2537,1
2538,1
2539,1
2540,0
2541,0
2542,1
2543,0
2544,1
2545,1
2546,1
2547,1
2548,0
2549,1
2550,0
2551,0
2552,0
2553,0
2554,0
2555,0
2556,1
2557,1
2558,1
2559,0
2560,0
2561,1
2562,0
2563,1
2564,1
2565,1
2566,0
2567,1
2568,0
2569,0
2570,0
2571,1
2572,0
2573,1
2574,1
2575,1
2576,1
2577,0
2578,0
2579,1
2580,1
2581,0
2582,1
2583,0
2584,1
2585,0
2586,1
2587,1
2588,1
2589,1
2590,0
2591,0
2592,1
2593,0
2594,1
2595,0
2596,1
2597,1
2598,1
2599,0
2600,0
2601,1
2602,1
2603,1
2604,0
2605,1
2606,1
2607,0
2608,1
2609,1
2610,0
2611,0
2612,1
2613,1
2614,1
2615,1
2616,0
2617,0
2618,1
2619,0
2620,0
2621,0
2622,0
2623,1
2624,0
2625,1
2626,0
2627,1
2628,0
2629,0
2630,0
2631,0
2632,0
2633,1
2634,0
2635,0
2636,1
2637,1
2638,0
2639,0
2640,1
2641,1
2642,1
2643,1
2644,1
2645,1
2646,1
2647,1
2648,1
2649,0
2650,1
2651,1
2652,0
2653,0
2654,1
2655,0
2656,1
2657,0
2658,1
2659,1
2660,1
2661,1
2662,1
2663,1
2664,0
2665,0
2666,0
2667,1
2668,1
2669,0
2670,0
2671,0
2672,1
2673,1
2674,1
2675,0
2676,1
2677,1
2678,0
2679,0
2680,1
2681,1
2682,1
2683,0
2684,0
2685,1
2686,1
2687,0
2688,0
2689,0
2690,1
2691,0
2692,0
2693,1
2694,1
2695,0
2696,1
2697,1
2698,0
2699,0
2700,0
2701,0
2702,1
2703,1
2704,0
2705,1
2706,0
2707,1
2708,1
2709,1
2710,0
2711,0
2712,1
2713,1
2714,0
2715,1
2716,1
2717,1
2718,0
2719,1
2720,1
2721,0
2722,0
2723,0
2724,0
2725,0
2726,0
2727,1
2728,1
2729,0
2730,0
2731,1
2732,1
2733,1
2734,1
2735,0
2736,1
2737,0
2738,0
2739,0
2740,0
2741,0
2742,1
2743,1
2744,0
2745,0
2746,0
2747,1
2748,1
2749,0
2750,1
2751,1
2752,0
2753,1
2754,1
2755,0
2756,0
2757,0
2758,0
2759,0
2760,1
2761,1
2762,1
2763,0
2764,1
2765,0
2766,0
2767,0
2768,1
2769,0
2770,0
2771,1
2772,0
2773,1
2774,1
2775,0
2776,1
2777,0
2778,0
2779,1
2780,1
2781,0
2782,0
2783,1
2784,1
2785,1
2786,1
2787,1
2788,1
2789,0
2790,1
2791,0
2792,0
2793,0
2794,1
2795,1
2796,0
2797,0
2798,0
2799,1
2800,0
2801,1
2802,0
2803,1
2804,0
2805,0
2806,1
2807,0
2808,1
2809,0
2810,1
2811,1
2812,1
2813,1
2814,1
2815,0
2816,1
2817,1
2818,0
2819,0
2820,0
2821,1
2822,0
2823,1
2824,0
2825,1
2826,1
2827,1
2828,0
2829,0
2830,1
2831,1
2832,1
2833,1
2834,0
2835,0
2836,1
2837,1
2838,0
2839,1
2840,0
2841,1
2842,1
2843,1
2844,0
2845,1
2846,0
2847,1
2848,1
2849,1
2850,1
2851,0
2852,0
2853,0
2854,0
2855,0
2856,1
2857,0
2858,1
2859,1
2860,0
2861,0
2862,1
2863,1
2864,1
2865,0
2866,0
2867,1
2868,0
2869,1
2870,0
2871,1
2872,0
2873,0
2874,0
2875,0
2876,0
2877,1
2878,0
2879,0
2880,1
2881,1
2882,0
2883,1
2884,1
2885,0
2886,0
2887,1
2888,1
2889,1
2890,1
2891,1
2892,0
2893,0
2894,0
2895,0
2896,1
2897,0
2898,0
2899,1
2900,1
2901,0
2902,0
2903,0
2904,1
2905,1
2906,1
2907,1
2908,0
2909,1
2910,0
2911,1
2912,0
2913,0
2914,0
2915,1
2916,0
2917,0
2918,1
2919,1
2920,1
2921,1
2922,0
2923,1
2924,1
2925,0
2926,0
2927,1
2928,0
2929,0
2930,0
2931,0
2932,1
2933,0
2934,1
2935,0
2936,0
2937,0
2938,0
2939,0
2940,0
2941,1
2942,0
2943,1
2944,0
2945,0
2946,1
2947,1
2948,1
2949,1
2950,1
2951,0
2952,0
2953,0
2954,1
2955,0
2956,0
2957,0
2958,1
2959,1
2960,0
2961,0
2962,0
2963,1
2964,0
2965,1
2966,0
2967,1
2968,0
2969,0
2970,1
2971,1
2972,0
2973,1
2974,0
2975,1
2976,1
2977,0
2978,0
2979,0
2980,0
2981,1
2982,1
2983,0
2984,0
2985,0
2986,0
2987,1
2988,0
2989,1
2990,1
2991,1
2992,1
2993,0
2994,0
2995,1
2996,0
2997,1
